2,e80.png,4.00,0.33,0.80
1,e100.png,1.00,0.40,1.00
2,e20.png,2.00,0.47,0.20
1,e50.png,3.00,0.47,0.50
2,e80.png,5.00,0.57,0.80
2,e50.png,4.00,0.45,0.50
2,e100.png,1.00,0.38,1.00
1,e80.png,1.00,0.68,0.80
2,e100.png,3.00,0.58,1.00
2,e100.png,1.00,0.00,1.00
1,e50.png,2.00,0.49,0.50
2,e80.png,1.00,0.67,0.80
1,e20.png,2.00,0.39,0.20
1,e100.png,5.00,0.75,1.00
1,e80.png,3.00,0.39,0.80
2,e100.png,4.00,0.53,1.00
1,e20.png,1.00,0.00,0.20
1,e100.png,4.00,0.68,1.00
1,e80.png,5.00,0.70,0.80
1,e20.png,4.00,0.73,0.20
2,e80.png,2.00,0.63,0.80
2,e50.png,3.00,0.31,0.50
2,e20.png,3.00,0.71,0.20
1,e20.png,1.00,0.57,0.20
1,e100.png,3.00,0.39,1.00
2,e20.png,4.00,0.60,0.20
1,e20.png,5.00,0.49,0.20
2,e20.png,5.00,0.37,0.20
2,e80.png,3.00,0.49,0.80
1,e80.png,2.00,0.70,0.80
2,e50.png,2.00,0.72,0.50
1,e80.png,4.00,0.45,0.80
1,e50.png,5.00,0.54,0.50
2,e100.png,2.00,0.37,1.00
1,e50.png,4.00,0.41,0.50
1,e20.png,3.00,0.48,0.20
1,e50.png,1.00,0.00,0.50
2,e20.png,1.00,0.63,0.20
1,e50.png,1.00,0.26,0.50
1,e100.png,2.00,0.44,1.00
2,e50.png,5.00,0.47,0.50
2,e50.png,1.00,0.40,0.50
2,e80.png,1.00,0.00,0.80
2,e100.png,5.00,0.40,1.00
