1,e50.png,1.00,0.00,0.50
2,e100.png,3.00,0.63,1.00
2,e80.png,2.00,0.61,0.80
2,e50.png,4.00,0.33,0.50
1,e100.png,4.00,0.50,1.00
2,e20.png,4.00,0.55,0.20
2,e50.png,2.00,0.26,0.50
1,e80.png,5.00,0.52,0.80
1,e50.png,5.00,0.25,0.50
2,e80.png,4.00,0.51,0.80
2,e20.png,2.00,0.75,0.20
2,e80.png,1.00,0.00,0.80
1,e20.png,5.00,0.66,0.20
2,e100.png,4.00,0.25,1.00
1,e80.png,4.00,0.48,0.80
1,e20.png,3.00,0.37,0.20
1,e80.png,3.00,0.39,0.80
2,e50.png,1.00,0.44,0.50
2,e80.png,3.00,0.70,0.80
2,e80.png,1.00,0.72,0.80
1,e20.png,1.00,0.00,0.20
1,e50.png,1.00,0.44,0.50
2,e20.png,1.00,0.47,0.20
2,e20.png,5.00,0.75,0.20
2,e100.png,2.00,0.49,1.00
1,e80.png,2.00,0.35,0.80
2,e20.png,3.00,0.34,0.20
1,e100.png,2.00,0.67,1.00
2,e100.png,1.00,0.00,1.00
1,e20.png,4.00,0.69,0.20
1,e100.png,1.00,0.26,1.00
2,e100.png,5.00,0.62,1.00
1,e100.png,5.00,0.42,1.00
2,e50.png,3.00,0.59,0.50
2,e80.png,5.00,0.41,0.80
1,e50.png,2.00,0.43,0.50
1,e20.png,2.00,0.68,0.20
1,e80.png,1.00,0.54,0.80
1,e100.png,3.00,0.73,1.00
1,e50.png,4.00,0.73,0.50
2,e50.png,5.00,0.48,0.50
2,e100.png,1.00,0.56,1.00
1,e20.png,1.00,0.53,0.20
1,e50.png,3.00,0.50,0.50
