2,e100.png,2,0.49,1
1,e20.png,1,0.53,0.2
2,e100.png,1,0.56,1
2,e50.png,3,0.59,0.5
1,e50.png,3,0.5,0.5
2,e20.png,5,0.75,0.2
1,e50.png,1,0.44,0.5
1,e80.png,1,0.54,0.8
1,e80.png,4,0.48,0.8
1,e20.png,1,0,0.2
2,e50.png,4,0.33,0.5
1,e20.png,5,0.66,0.2
2,e80.png,5,0.41,0.8
2,e100.png,1,0,1
1,e100.png,2,0.67,1
2,e80.png,1,0,0.8
2,e50.png,1,0.44,0.5
2,e100.png,5,0.62,1
1,e20.png,4,0.69,0.2
1,e50.png,1,0,0.5
1,e100.png,1,0.26,1
2,e20.png,3,0.34,0.2
2,e80.png,1,0.72,0.8
2,e100.png,3,0.63,1
1,e50.png,4,0.73,0.5
1,e20.png,2,0.68,0.2
1,e50.png,5,0.25,0.5
1,e100.png,5,0.42,1
1,e50.png,2,0.43,0.5
2,e100.png,4,0.25,1
2,e20.png,2,0.75,0.2
1,e80.png,5,0.52,0.8
1,e80.png,3,0.39,0.8
2,e50.png,2,0.26,0.5
2,e20.png,1,0.47,0.2
2,e80.png,3,0.7,0.8
1,e20.png,3,0.37,0.2
2,e50.png,5,0.48,0.5
2,e80.png,2,0.61,0.8
1,e100.png,4,0.5,1
2,e80.png,4,0.51,0.8
1,e80.png,2,0.35,0.8
2,e20.png,4,0.55,0.2
1,e100.png,3,0.73,1
